node ID:
1	-1	-1	-1
2	 1	-1	-1
3	 1	 1	-1
4	-1	 1	-1
5	-1	-1	 1
6	 1	-1	 1
7	 1	 1	 1
8	-1	 1	 1
9	 0	-1	-1
10	 1	 0	-1
11	 0	 1	-1
12	-1	 0	-1
13	 0	-1	 1
14	 1	 0	 1
15	 0	 1	 1
16	-1	 0	 1
17	-1	-1	 0
18	 1	-1	 0
19	 1	 1	 0
20	-1	 1	 0
21	-1	 0	 0
22	 1	 0	 0
23	 0	-1	 0
24	 0	 1	 0
25	 0	 0	-1
26	 0	 0	 1
27	 0	 0	 0

edge:
1	/	-1	-1
2	 1	/	-1
3	/	 1	-1
4	-1	/	-1
5	/	-1	 1
6	 1	/	 1
7	/	 1	 1
8	-1	/	 1
9	-1	-1	/
10	 1	-1	/
11	 1	 1	/
12	-1	 1	/

surface:
1	-1	/	/
2	 1	/	/
3	/	-1	/
4	/	 1	/
5	/	/	-1
6	/	/	 1
